dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
0.91	5089	id_7572	5059	id_7541
0.94	40492	id_57757	20726	id_29801
1.0	124786	id_174153	50226	id_71626
1.0	74244	id_105559	74179	id_105494
1.0	117217	id_163514	55349	id_78792
1.0	42122	id_60224	42119	id_60221
0.92	181226	id_251730	173791	id_242224
0.92	169351	id_236121	107141	id_149610
1.0	55401	id_78886	33408	id_47354
1.0	154993	id_216019	127954	id_178600
1.0	39842	id_56863	39828	id_56837
0.89	155346	id_216636	144706	id_201763
0.92	92869	id_130017	25177	id_35855
1.0	179966	id_250080	163483	id_227963
1.0	136276	id_190093	15547	id_22480
0.99	45586	id_65068	21371	id_30768
1.0	125641	id_175238	125590	id_175187
1.0	103066	id_144025	69817	id_98421
0.88	166950	id_232727	127097	id_177371
1.0	50238	id_71639	9546	id_14002
0.98	158430	id_221029	55288	id_78715
1.0	165054	id_230014	165038	id_229998
1.0	112838	id_157502	25475	id_36344
1.0	129577	id_180895	129562	id_180877
1.0	140895	id_196597	47448	id_67859
1.0	113693	id_158617	113634	id_158557
1.0	129577	id_180895	129539	id_180846
1.0	182336	id_253330	182278	id_253272
1.0	187316	id_260225	106574	id_148912
1.0	52971	id_75293	52965	id_75287
1.0	175813	id_244867	125270	id_174753
1.0	151580	id_211257	151562	id_211238
1.0	90553	id_127219	90443	id_127109
1.0	77234	id_109567	77198	id_109523
1.0	139263	id_194062	77357	id_109749
1.0	63946	id_90688	63931	id_90673
1.0	18445	id_26804	9602	id_14058
1.0	186338	id_258916	170257	id_237268
1.0	170346	id_237363	170281	id_237293
0.88	55221	id_78648	43705	id_62276
1.0	111710	id_155925	74902	id_106564
1.0	134744	id_187997	134743	id_187996
1.0	63946	id_90688	63938	id_90680
1.0	135588	id_189074	135514	id_188986
1.0	96541	id_134686	8035	id_11876
1.0	57823	id_82255	57738	id_82170
1.0	108912	id_152092	108908	id_152088
0.97	179026	id_248831	179003	id_248808
1.0	57876	id_82310	57857	id_82289
1.0	115610	id_161232	115596	id_161218
1.0	197	id_198	102	id_102
0.97	78042	id_111112	78041	id_111111
1.0	137572	id_191847	74137	id_105392
1.0	88086	id_124310	87992	id_124213
1.0	134744	id_187997	134721	id_187974
1.0	140011	id_195314	47998	id_68510
1.0	62371	id_88646	62159	id_88386
1.0	140009	id_195312	109088	id_152308
1.0	181622	id_252197	181593	id_252168
1.0	147327	id_205271	147257	id_205201
1.0	148537	id_207098	147626	id_205632
1.0	109394	id_152622	109357	id_152584
1.0	118134	id_164763	118128	id_164755
0.9	92210	id_129355	70341	id_99343
1.0	59623	id_84878	25179	id_35857
1.0	170798	id_238076	3838	id_5738
1.0	63058	id_89538	63056	id_89535
0.9	104708	id_146399	8041	id_11882
1.0	63946	id_90688	63915	id_90657
1.0	165282	id_230286	165281	id_230285
1.0	156525	id_218373	13339	id_19210
1.0	59548	id_84719	59414	id_84547
1.0	77774	id_110460	40434	id_57620
1.0	75893	id_107882	75892	id_107881
1.0	87662	id_123813	87544	id_123681
1.0	163633	id_228167	147267	id_205211
1.0	175605	id_244633	37325	id_53629
0.96	174637	id_243361	131702	id_183816
1.0	35205	id_50301	35136	id_50232
0.96	151428	id_211103	45574	id_65056
1.0	82392	id_116911	82298	id_116816
1.0	113669	id_158592	113600	id_158523
1.0	118641	id_165639	118611	id_165570
1.0	121979	id_170172	121977	id_170170
1.0	57633	id_81990	57346	id_81688
0.89	155558	id_216856	35477	id_50878
1.0	50238	id_71639	29394	id_41740
1.0	61858	id_88033	61839	id_88014
1.0	155117	id_216186	136225	id_190029
1.0	46454	id_66591	30644	id_43670
1.0	114784	id_160218	114757	id_160189
0.9	74903	id_106572	8232	id_12170
1.0	90411	id_127077	90324	id_126990
1.0	90746	id_127435	90720	id_127409
1.0	93599	id_130945	93479	id_130812
0.97	114367	id_159626	74486	id_105949
1.0	96550	id_134696	46056	id_65762
1.0	148167	id_206445	148163	id_206441
0.9	85433	id_120797	85128	id_120470
1.0	73940	id_105142	73938	id_105140
0.94	23173	id_33216	22645	id_32569
1.0	73940	id_105142	73937	id_105139
1.0	197	id_198	129	id_129
1.0	136144	id_189938	45027	id_64254
1.0	90746	id_127435	90744	id_127433
1.0	137029	id_191131	136888	id_190990
1.0	71869	id_101850	71826	id_101778
1.0	59663	id_84938	52299	id_74419
0.9	64378	id_91214	29394	id_41740
1.0	70394	id_99396	45596	id_65099
0.9	90873	id_127621	67818	id_95856
1.0	69730	id_98278	69709	id_98255
1.0	128044	id_178721	128042	id_178717
1.0	181781	id_252491	76482	id_108599
1.0	116400	id_162395	50226	id_71626
1.0	114398	id_159673	32020	id_45642
1.0	77433	id_109838	46422	id_66485
1.0	45252	id_64561	45237	id_64546
1.0	118597	id_165536	11069	id_15977
1.0	176251	id_245442	176250	id_245441
1.0	118213	id_164850	54677	id_77789
1.0	181617	id_252192	181587	id_252162
1.0	85293	id_120643	85262	id_120611
1.0	100816	id_140928	100815	id_140926
0.98	161456	id_225038	143346	id_199968
1.0	84029	id_118916	84007	id_118894
1.0	84029	id_118916	84005	id_118892
0.9	104673	id_146364	64378	id_91214
1.0	84029	id_118916	84001	id_118887
1.0	106674	id_149012	106595	id_148933
1.0	178837	id_248546	178709	id_248418
1.0	122158	id_170383	122137	id_170360
1.0	114398	id_159673	32106	id_45731
0.9	110221	id_153885	86609	id_122235
1.0	104962	id_146662	104954	id_146654
0.94	161407	id_224989	3901	id_5801
0.91	131732	id_183846	69864	id_98530
0.91	107468	id_150216	68782	id_97081
1.0	176181	id_245351	176138	id_245280
1.0	90744	id_127433	90720	id_127409
1.0	159498	id_222261	25272	id_35964
0.96	178450	id_248159	173036	id_241013
0.94	165579	id_230699	165375	id_230476
0.97	186466	id_259144	89918	id_126547
1.0	23245	id_33297	23204	id_33247
1.0	186466	id_259144	89923	id_126552
0.94	161461	id_225043	70365	id_99367
1.0	176902	id_246187	176810	id_246091
1.0	176902	id_246187	176808	id_246089
1.0	179817	id_249908	41986	id_60037
1.0	149038	id_207827	11750	id_17025
1.0	113669	id_158592	113667	id_158590
1.0	142472	id_198661	142279	id_198467
1.0	184951	id_257214	184812	id_257062
0.9	113404	id_158301	8232	id_12170
1.0	78475	id_111598	59068	id_84087
1.0	172790	id_240758	3932	id_5832
1.0	46424	id_66490	43140	id_61581
1.0	187647	id_260679	187639	id_260670
1.0	131681	id_183795	92503	id_129648
0.94	107141	id_149610	72109	id_102448
1.0	48537	id_69317	48536	id_69316
1.0	151932	id_211801	118028	id_164647
1.0	155101	id_216141	125277	id_174785
0.88	55221	id_78648	43658	id_62229
0.97	64930	id_92028	64889	id_91984
1.0	143257	id_199853	112228	id_156631
0.97	65657	id_92954	65579	id_92855
1.0	143350	id_199972	47452	id_67863
0.9	131732	id_183846	45814	id_65395
1.0	146662	id_204444	135783	id_189309
0.89	161383	id_224965	161011	id_224563
0.98	167836	id_233805	153026	id_213273
0.95	65657	id_92954	65560	id_92834
0.9	80191	id_113946	27523	id_39105
1.0	156663	id_218636	156645	id_218618
1.0	34953	id_50021	34900	id_49966
1.0	186682	id_259390	186672	id_259380
1.0	183753	id_255572	183733	id_255552
1.0	171976	id_239633	27351	id_38761
1.0	138768	id_193280	138765	id_193277
1.0	172256	id_239976	163712	id_228246
0.9	64378	id_91214	29406	id_41752
1.0	32482	id_46203	32461	id_46178
0.91	150958	id_210507	150941	id_210490
1.0	149810	id_208818	62240	id_88467
0.95	9315	id_13737	9314	id_13736
1.0	102049	id_142644	102042	id_142636
0.99	154993	id_216019	45586	id_65068
1.0	65274	id_92478	65258	id_92457
1.0	112640	id_157091	107416	id_150128
1.0	161461	id_225043	21371	id_30768
1.0	104836	id_146534	104832	id_146530
1.0	178955	id_248732	145739	id_203098
1.0	113466	id_158365	93090	id_130318
1.0	113474	id_158373	113466	id_158365
1.0	113474	id_158373	113469	id_158368
1.0	108609	id_151752	108398	id_151541
1.0	153017	id_213263	153001	id_213237
1.0	159498	id_222261	25202	id_35880
1.0	7773	id_11601	7764	id_11592
0.89	99661	id_139238	99559	id_139101
1.0	185479	id_257909	185466	id_257896
1.0	139020	id_193580	47880	id_68327
1.0	118134	id_164763	118096	id_164719
1.0	151932	id_211801	118049	id_164668
1.0	183627	id_255321	183626	id_255320
1.0	183627	id_255321	183624	id_255318
1.0	113474	id_158373	113462	id_158361
1.0	113474	id_158373	113463	id_158362
